frequency,bandwidth
154.0,0.0125
154.0125,0.0125
154.025,0.0125
154.0375,0.0125
154.05,0.0125
154.0625,0.0125
154.075,0.0125
154.0875,0.0125
154.1,0.0125
154.1125,0.0125
154.125,0.0125
154.1375,0.0125
154.15,0.0125
154.1625,0.0125
154.1875,0.0125
154.2,0.0125
154.2125,0.0125
154.225,0.0125
154.2375,0.0125
154.25,0.0125
154.2625,0.0125
154.275,0.0125
154.2875,0.0125
154.3,0.0125
154.325,0.0125
154.3375,0.0125
154.35,0.0125
154.375,0.0125
154.4125,0.0125
154.425,0.0125
154.4375,0.0125
154.45,0.0125
154.4625,0.0125
154.4875,0.0125
154.5,0.0125
154.5125,0.0125
154.525,0.0125
154.5375,0.0125
154.55,0.0125
154.5625,0.0125
154.575,0.0125
154.5875,0.0125
154.6,0.0125
154.6125,0.0125
154.625,0.0125
154.65,0.0125
154.6625,0.0125
154.675,0.0125
154.6875,0.0125
154.7,0.0125
154.7125,0.0125
154.7375,0.0125
154.75,0.0125
154.7625,0.0125
154.7875,0.0125
154.8,0.0125
154.8125,0.0125
154.825,0.0125
154.8375,0.0125
154.85,0.0125
154.8625,0.0125
154.875,0.0125
154.8875,0.0125
154.9,0.0125
154.9125,0.0125
154.925,0.0125
154.9375,0.0125
154.9875,0.0125
155.0,0.0125
155.0125,0.0125
155.025,0.0125
155.0375,0.0125
155.05,0.0125
155.0625,0.0125
155.075,0.0125
155.0875,0.0125
155.1,0.0125
155.1125,0.0125
155.125,0.0125
155.1375,0.0125
155.15,0.0125
155.1625,0.0125
155.175,0.0125
155.1875,0.0125
155.2,0.0125
155.2125,0.0125
155.225,0.0125
155.2375,0.0125
155.25,0.0125
155.2625,0.0125
155.275,0.0125
155.2875,0.0125
155.3,0.0125
155.3125,0.0125
155.325,0.0125
155.3375,0.0125
155.35,0.0125
155.3625,0.0125
155.375,0.0125
155.3875,0.0125
155.4,0.0125
155.4125,0.0125
155.425,0.0125
155.4375,0.0125
155.45,0.0125
155.4625,0.0125
155.475,0.0125
155.4875,0.0125
155.5,0.0125
155.5125,0.0125
155.525,0.0125
155.5375,0.0125
155.55,0.0125
155.5625,0.0125
155.575,0.0125
155.5875,0.0125
155.6,0.0125
155.6125,0.0125
155.625,0.0125
155.6375,0.0125
155.65,0.0125
155.6625,0.0125
155.675,0.0125
155.6875,0.0125
155.7,0.0125
155.7125,0.0125
155.725,0.0125
155.75,0.0125
155.7625,0.0125
155.775,0.0125
155.7875,0.0125
155.8,0.0125
155.8125,0.0125
155.825,0.0125
155.8375,0.0125
155.85,0.0125
155.8625,0.0125
155.875,0.0125
155.8875,0.0125
155.9,0.0125
155.9125,0.0125
155.925,0.0125
155.9375,0.0125
155.95,0.0125
155.9625,0.0125
155.975,0.0125
155.9875,0.0125
156.0,0.0125
156.0125,0.0125
156.025,0.0125
156.0375,0.0125
156.05,0.0125
156.0625,0.0125
156.075,0.0125
156.0875,0.0125
156.1,0.0125
156.1125,0.0125
156.125,0.0125
156.1375,0.0125
156.15,0.0125
156.175,0.0125
156.1875,0.0125
156.2,0.0125
156.2125,0.0125
156.225,0.0125
156.2375,0.0125
156.25,0.0125
156.2625,0.0125
156.275,0.0125
156.2875,0.0125
156.3,0.0125
156.3125,0.0125
156.325,0.0125
156.3375,0.0125
156.35,0.0125
156.375,0.0125
156.3875,0.0125
156.4,0.0125
156.4125,0.0125
156.425,0.0125
156.4375,0.0125
156.45,0.0125
156.4625,0.0125
156.475,0.0125
156.5,0.0125
156.5625,0.0125
156.5875,0.0125
156.6,0.0125
156.6125,0.0125
156.625,0.0125
156.65,0.0125
156.6625,0.0125
156.675,0.0125
156.6875,0.0125
156.7,0.0125
156.725,0.0125
156.7375,0.0125
156.75,0.0125
156.7625,0.0125
156.7875,0.0125
156.8375,0.0125
156.85,0.0125
156.875,0.0125
156.8875,0.0125
156.9,0.0125
156.9125,0.0125
156.925,0.0125
156.9375,0.0125
156.95,0.0125
156.975,0.0125
156.9875,0.0125
157.0,0.0125
157.0125,0.0125
157.025,0.0125
157.0375,0.0125
157.0625,0.0125
157.075,0.0125
157.0875,0.0125
157.1,0.0125
157.1125,0.0125
157.125,0.0125
157.1375,0.0125
157.15,0.0125
157.1625,0.0125
157.1875,0.0125
157.2,0.0125
157.2125,0.0125
157.225,0.0125
157.2375,0.0125
157.25,0.0125
157.2625,0.0125
157.2875,0.0125
157.3,0.0125
157.3125,0.0125
157.325,0.0125
157.35,0.0125
157.3625,0.0125
157.375,0.0125
157.3875,0.0125
157.4,0.0125
157.4125,0.0125
157.45,0.0125
157.4625,0.0125
157.475,0.0125
157.4875,0.0125
157.5,0.0125
157.5125,0.0125
157.525,0.0125
157.5375,0.0125
157.55,0.0125
157.5625,0.0125
157.575,0.0125
157.5875,0.0125
157.6,0.0125
157.6125,0.0125
157.625,0.0125
157.6375,0.0125
157.65,0.0125
157.6625,0.0125
157.675,0.0125
157.6875,0.0125
157.7,0.0125
157.7125,0.0125
157.725,0.0125
157.7375,0.0125
157.75,0.0125
157.7625,0.0125
157.775,0.0125
157.7875,0.0125
157.8,0.0125
157.8125,0.0125
157.825,0.0125
157.85,0.0125
157.875,0.0125
157.8875,0.0125
157.9,0.0125
157.9125,0.0125
157.925,0.0125
157.9375,0.0125
157.95,0.0125
157.9625,0.0125
157.975,0.0125
157.9875,0.0125
158.0,0.0125
158.0125,0.0125
158.025,0.0125
158.0375,0.0125
158.05,0.0125
158.0625,0.0125
158.075,0.0125
158.1,0.0125
158.1125,0.0125
158.1375,0.0125
158.15,0.0125
158.1625,0.0125
158.175,0.0125
158.1875,0.0125
158.2125,0.0125
158.225,0.0125
158.2375,0.0125
158.25,0.0125
158.2625,0.0125
158.275,0.0125
158.2875,0.0125
158.3,0.0125
158.3125,0.0125
